message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:07.327773974Z
> drizzle-kit push --config ./drizzle.config.ts,info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:08.095772419Z
,info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:08.095780449Z
Reading config file '/app/lib/db/drizzle.config.ts',info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:08.095784789Z
Using 'pg' driver for database querying,info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:08.095789539Z
[⣷] Pulling schema from database...,info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:08.095794149Z
[2K[1G[⣯] Pulling schema from database...,info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:08.095798709Z
[2K[1G[⣟] Pulling schema from database...,info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:08.095802149Z
,info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:08.095805889Z
[2K[1G[⡿] Pulling schema from database...,info,"{""level"":""info""}","{""project"":""0c128f70-1448-4897-9e48-eee6d8b47d38"",""environment"":""3f6fee42-f55f-4baa-b200-2da1e58e887b"",""service"":""d18da04a-7c7c-4859-8deb-1db1223774ce"",""deployment"":""221fcaec-fafb-46bf-840b-33df040ce4b5"",""replica"":""858ec4bb-b69c-4307-96c6-15ec073d87fc""}",2026-04-18T05:25:08.095806089Z
